Npc;Thread;Branch;Step;Text;Ask1;Ask2;Ask3;Ask4;Next_Thread;Goto_Branch;Goto_Step;Event
True;welcome;0;0;Hello;False;False;False;False;False;False;False;False
False;welcome;0;1;Hello;False;False;False;False;Next;False;False;False
True;welcome;1;0;Hello again;False;False;False;False;False;False;False;False
False;welcome;1;1;Hello again;False;False;False;False;Next;False;False;False
True;intro blue gnom;0;0;I wonder you are asking what are you doing here?;Yes>False>0,1;False;False;False;False;False;False;False
True;intro blue gnom;0;1;You were send here into the dungeon because of mad king Kabuli. I suppose he would like that you`ll  never get out of here;False;False;False;False;False;False;False;False
True;intro blue gnom;0;2;But I`think our people of the Enchanted Island of La Palmix needs you!;False;False;False;False;False;False;False;False
True;intro blue gnom;0;3;Go adventurer and find way out. I`ll help you if  you have questions.;False;False;False;False;Next;False;False;False
True;explanations blue gnom;0;0;So, If there is something else, you would like to know?;Please help me with controls>False>1,0;Please help me with gameplay>False>2,0;Please tell me about caracter skills>False>3,0;Please help me with this rats!>False>4,0;False;False;False;False
True;explanations blue gnom;1;0;Use keyboard W S A D keys do move.                Use E key to pick and interact with items or NPC`sUse SPACEBAR to attack.                           To quick change between spell and weapon Use C keyTo pause use P key.;False;False;False;False;Next;False;False;False
True;explanations blue gnom;2;0;To pick up item form your inventory use mouse.    To open spell book use the blue button on bottom. To open quest book push the yellow button.        To pause game push red PAUSE button.;False;False;False;False;Next;False;False;False
True;explanations blue gnom;3;0;You can be better warrior by improving your skillsStrength to improve your melle and ranged attack. Stamina to increase your total hit points.        Intellect to perfect your spells.                 Wisdom to increase your magic points.             Speed to improve your movement                    Stealth to avoid being seen by the hostiles.;False;False;False;False;Next;False;False;False
True;explanations blue gnom;4;0;Look out for the traps and enemies. Remember some of the enemies will chase you once you are close  to them. Others can event shoot. Avoid being      surrounded by the hostiles, try to find your way  to improve your skills.;False;False;False;False;Next;False;False;False
True;bye;0;0;Goodbye!;False;False;False;False;False;False;False;False
False;bye;0;1;See you next time!;False;False;False;False;False;False;False;False
