Npc;Thread;Branch;Step;Text;Ask1;Ask2;Ask3;Ask4;Next_Thread;Goto_Branch;Goto_Step;Event
True;welcome;0;0;Hello;False;False;False;False;Next;False;False;False
True;welcome;1;0;Hello again;False;False;False;False;Next;False;False;False
True;quest Magic Rose;0;0;Are you searching for a adventure?;Yes>quest Magic Rose>0,1;No>False>0,2;False;False;False;False;False;False
True;quest Magic Rose;0;1;So I have a task for you. Bring me a magic rose!  But beware it can be a dangerous quest!;False;False;False;False;Next;False;False;False
True;quest Magic Rose;0;2;Oh no? Well maybe another hero will arrive.;False;False;False;False;Next;False;False;False
True;quest Magic Rose;1;0;Go, bring me the magic rose.;False;False;False;False;Next;False;False;False
True;quest Magic Rose;2;0;Wonderful you have made it!;False;False;False;False;False;False;False;quest Magic Rose has been completed
True;quest Magic Rose;2;1;I have something special for you!;False;False;False;False;False;False;False;False
False;quest Magic Rose;2;2;Thanks!;False;False;False;False;Next;False;False;quest Magic Rose has been rewarded
True;quest Magic Rose;3;0;Good luck adventurer!;False;False;False;False;Next;False;False;False
True;bye;0;0;Goodbye!;False;False;False;False;False;False;False;False
False;bye;0;1;See you next time!;False;False;False;False;False;False;False;False
