Npc;Thread;Branch;Step;Text;Ask1;Ask2;Ask3;Ask4;Next_Thread;Goto_Branch;Goto_Step;Event
True;welcome;0;0;         Stop there! None shall pass!             The king has fallen ill. No one can enter!;False;False;False;False;Next;False;False;False
True;welcome;1;0;You again?!;False;False;False;False;Next;False;False;False
False;quest Miraflorida;0;0;I`m sorry, only wandreing there..;False;False;False;False;False;False;False;False
False;quest Miraflorida;1;0;I have to enter the castle to help our king Sancho to win the corona curse!;False;False;False;False;False;False;False;False
True;quest Miraflorida;1;1;I cannot let you in! These are my orders!;False;False;False;False;Next;False;False;False
True;quest Miraflorida;2;0;I`m sorry I cannot let you in!;False;False;False;False;Next;False;False;False
True;quest Miraflorida;3;0;I`m sorry I cannot let you in!;False;False;False;False;Next;False;False;False
True;pass;0;0;Ok. You can pass. Ordes from our king!;False;False;False;False;False;False;False;False
True;bye;0;0;Goodbye!;False;False;False;False;False;False;False;False
False;bye;0;1;See you next time!;False;False;False;False;False;False;False;False
