Npc;Thread;Branch;Step;Text;Ask1;Ask2;Ask3;Ask4;Next_Thread;Goto_Branch;Goto_Step;Event
True;welcome;0;0;Hello;False;False;False;False;False;False;False;False
False;welcome;0;1;Hello;False;False;False;False;Next;False;False;False
True;welcome;1;0;Hello again;False;False;False;False;False;False;False;False
False;welcome;1;1;Hello again;False;False;False;False;Next;False;False;False
True;intro;0;0;You are too weak to speak with me, child.;False;False;False;False;False;False;False;False
True;quest Holy Grail;0;0;I have a task for you. Will you help me?;Yes>quest Holy Grail>0,1;No>False>0,2;False;False;False;False;False;False
True;quest Holy Grail;0;1;Thank`s, I`m seeking for a holy Grail.  Look for and bring it to me, I`ll be grateful!;False;False;False;False;Next;False;False;False
True;quest Holy Grail;0;2;That`s a pity..;False;False;False;False;Next;False;False;False
False;quest Holy Grail;1;0;Are you still searching?;False;False;False;False;Next;False;False;False
True;quest Holy Grail;2;0;Wonderful you have made it! Congratulations;False;False;False;False;False;False;False;quest Holy Grail has been completed
True;quest Holy Grail;2;1;I have a reward for you!;False;False;False;False;False;False;False;False
False;quest Holy Grail;2;2;Thanks!;False;False;False;False;Next;False;False;quest Holy Grail has been rewarded
True;quest Holy Grail;3;0;Thanks for your help. Now I can rest!;False;False;False;False;Next;False;False;False
True;bye;0;0;Goodbye!;False;False;False;False;False;False;False;False
False;bye;0;1;See you next time!;False;False;False;False;False;False;False;False
