Npc;Thread;Branch;Step;Text;Ask1;Ask2;Ask3;Ask4;Next_Thread;Goto_Branch;Goto_Step;Event
True;welcome;0;0;Whoaf, whoaf;False;False;False;False;Next;False;False;False
True;welcome;1;0;Whoaf again!;False;False;False;False;Next;False;False;False
True;quest Pedritos Wolf;0;0;Whoaf!;False;False;False;False;Next;False;False;False
True;quest Pedritos Wolf;1;0;Whoaf whoaf grrrrrrr! I`m hungry. Please bring me some bones. My lord, Pedrito is vege, and I would like eat some meat! Can you bring me some bones?  Whauf!;False;False;False;False;False;False;False;False
False;quest Pedritos Wolf;1;1;So that`s the problem, lettuce and tomato salad from Pedrito? Ok. If I find some meal I`ll bring it to you.;False;False;False;False;False;False;False;False
True;quest Pedritos Wolf;1;2;Thanks! Whoaf!;False;False;False;False;Next;False;False;False
True;quest Pedritos Wolf;2;0;Whoaf! Thanks! Crunk crunch (Dogs eats with taste two bones).. ;False;False;False;False;False;False;False;False
True;quest Pedritos Wolf;2;1;Ok. Now I can back home, but later on I`ll have to hunt some meal. Whoaf!;False;False;False;False;False;False;False;quest Pedritos Wolf has been completed
True;quest Pedritos Wolf;3;0;Whoaf! Thans my friend!;False;False;False;False;Next;False;False;False
True;quest Pedritos Wolf;4;0;Whoaf! Thans my friend!;False;False;False;False;Next;False;False;False
False;bye;0;0;Goodbye!;False;False;False;False;False;False;False;False
